experiment,protocol,class,center_distance_threshold_m,AP,class_mean_AP
B0_RayDN,camera_crash_back_10f,construction_vehicle,4.0,0.0,0.0
B0_RayDN,camera_crash_back_10f,pedestrian,0.5,0.16908299002616622,0.5702459457071329
B0_RayDN,camera_crash_back_10f,pedestrian,1.0,0.48984678650036906,0.5702459457071329
B0_RayDN,camera_crash_back_10f,pedestrian,2.0,0.7810473402504079,0.5702459457071329
B0_RayDN,camera_crash_back_10f,pedestrian,4.0,0.8410066660515889,0.5702459457071329
B0_RayDN,camera_crash_back_10f,motorcycle,0.5,0.3005689713489141,0.6069461681069881
B0_RayDN,camera_crash_back_10f,motorcycle,1.0,0.591994454108356,0.6069461681069881
B0_RayDN,camera_crash_back_10f,motorcycle,2.0,0.7387877925145989,0.6069461681069881
B0_RayDN,camera_crash_back_10f,motorcycle,4.0,0.7964334544560832,0.6069461681069881
B0_RayDN,camera_crash_back_10f,bicycle,0.5,0.05891265211308784,0.27662836280919423
B0_RayDN,camera_crash_back_10f,bicycle,1.0,0.1967061567026336,0.27662836280919423
B0_RayDN,camera_crash_back_10f,bicycle,2.0,0.4188269508401573,0.27662836280919423
B0_RayDN,camera_crash_back_10f,bicycle,4.0,0.4320676915808981,0.27662836280919423
B0_RayDN,camera_crash_back_10f,traffic_cone,0.5,0.532995867550856,0.7416611370275925
B0_RayDN,camera_crash_back_10f,traffic_cone,1.0,0.7946930300909416,0.7416611370275925
B0_RayDN,camera_crash_back_10f,traffic_cone,2.0,0.819477825234286,0.7416611370275925
B0_RayDN,camera_crash_back_10f,traffic_cone,4.0,0.819477825234286,0.7416611370275925
B0_RayDN,camera_crash_back_10f,barrier,0.5,0.0,0.0
B0_RayDN,camera_crash_back_10f,barrier,1.0,0.0,0.0
B0_RayDN,camera_crash_back_10f,barrier,2.0,0.0,0.0
B0_RayDN,camera_crash_back_10f,barrier,4.0,0.0,0.0
B0_RayDN,compound_fog_crash_10f,car,0.5,0.41324575757233895,0.7081142380326189
B0_RayDN,compound_fog_crash_10f,car,1.0,0.682468727755096,0.7081142380326189
B0_RayDN,compound_fog_crash_10f,car,2.0,0.8413751714829087,0.7081142380326189
B0_RayDN,compound_fog_crash_10f,car,4.0,0.8953672953201318,0.7081142380326189
B0_RayDN,compound_fog_crash_10f,truck,0.5,0.6294769067849667,0.7775542400254296
B0_RayDN,compound_fog_crash_10f,truck,1.0,0.7431988522980374,0.7775542400254296
B0_RayDN,compound_fog_crash_10f,truck,2.0,0.8686126973103376,0.7775542400254296
B0_RayDN,compound_fog_crash_10f,truck,4.0,0.8689285037083766,0.7775542400254296
B0_RayDN,compound_fog_crash_10f,bus,0.5,0.04626461942801813,0.4006621944350882
B0_RayDN,compound_fog_crash_10f,bus,1.0,0.3319220674799338,0.4006621944350882
B0_RayDN,compound_fog_crash_10f,bus,2.0,0.4204887927727139,0.4006621944350882
B0_RayDN,compound_fog_crash_10f,bus,4.0,0.803973298059687,0.4006621944350882
B0_RayDN,compound_fog_crash_10f,trailer,0.5,0.0,0.0
B0_RayDN,compound_fog_crash_10f,trailer,1.0,0.0,0.0
B0_RayDN,compound_fog_crash_10f,trailer,2.0,0.0,0.0
B0_RayDN,compound_fog_crash_10f,trailer,4.0,0.0,0.0
B0_RayDN,compound_fog_crash_10f,construction_vehicle,0.5,0.0,0.0
B0_RayDN,compound_fog_crash_10f,construction_vehicle,1.0,0.0,0.0
B0_RayDN,compound_fog_crash_10f,construction_vehicle,2.0,0.0,0.0
B0_RayDN,compound_fog_crash_10f,construction_vehicle,4.0,0.0,0.0
B0_RayDN,compound_fog_crash_10f,pedestrian,0.5,0.1486338045645635,0.549815394961323
B0_RayDN,compound_fog_crash_10f,pedestrian,1.0,0.4758635194056574,0.549815394961323
B0_RayDN,compound_fog_crash_10f,pedestrian,2.0,0.7464201674729134,0.549815394961323
B0_RayDN,compound_fog_crash_10f,pedestrian,4.0,0.8283440884021577,0.549815394961323
B0_RayDN,compound_fog_crash_10f,motorcycle,0.5,0.21090855772488795,0.49332665748683
B0_RayDN,compound_fog_crash_10f,motorcycle,1.0,0.43264801868977387,0.49332665748683
B0_RayDN,compound_fog_crash_10f,motorcycle,2.0,0.6110003519916051,0.49332665748683
B0_RayDN,compound_fog_crash_10f,motorcycle,4.0,0.7187497015410531,0.49332665748683
B0_RayDN,compound_fog_crash_10f,bicycle,0.5,0.05910476936402862,0.2821309488541529
B0_RayDN,compound_fog_crash_10f,bicycle,1.0,0.20380474046246055,0.2821309488541529
B0_RayDN,compound_fog_crash_10f,bicycle,2.0,0.4260533949996467,0.2821309488541529
B0_RayDN,compound_fog_crash_10f,bicycle,4.0,0.4395608905904757,0.2821309488541529
B0_RayDN,compound_fog_crash_10f,traffic_cone,0.5,0.3908091747978623,0.6584475658889762
B0_RayDN,compound_fog_crash_10f,traffic_cone,1.0,0.6732727746103682,0.6584475658889762
B0_RayDN,compound_fog_crash_10f,traffic_cone,2.0,0.7764208367321326,0.6584475658889762
B0_RayDN,compound_fog_crash_10f,traffic_cone,4.0,0.7932874774155417,0.6584475658889762
B0_RayDN,compound_fog_crash_10f,barrier,0.5,0.0,0.0
B0_RayDN,compound_fog_crash_10f,barrier,1.0,0.0,0.0
B0_RayDN,compound_fog_crash_10f,barrier,2.0,0.0,0.0
B0_RayDN,compound_fog_crash_10f,barrier,4.0,0.0,0.0
M1,clean_no_corruption,car,0.5,0.4219473018624811,0.7215589562154184
M1,clean_no_corruption,car,1.0,0.7114966783218017,0.7215589562154184
M1,clean_no_corruption,car,2.0,0.8541446269935896,0.7215589562154184
M1,clean_no_corruption,car,4.0,0.8986472176838011,0.7215589562154184
M1,clean_no_corruption,truck,0.5,0.6757392064140056,0.8127617065236885
M1,clean_no_corruption,truck,1.0,0.807636848919695,0.8127617065236885
M1,clean_no_corruption,truck,2.0,0.8836135037625621,0.8127617065236885
M1,clean_no_corruption,truck,4.0,0.884057266998491,0.8127617065236885
M1,clean_no_corruption,bus,0.5,0.08650385923050181,0.6061139115885923
M1,clean_no_corruption,bus,1.0,0.6525234567901236,0.6061139115885923
M1,clean_no_corruption,bus,2.0,0.6857914385399893,0.6061139115885923
M1,clean_no_corruption,bus,4.0,0.9996368917937548,0.6061139115885923
M1,clean_no_corruption,trailer,0.5,0.0,0.0
M1,clean_no_corruption,trailer,1.0,0.0,0.0
M1,clean_no_corruption,trailer,2.0,0.0,0.0
M1,clean_no_corruption,trailer,4.0,0.0,0.0
M1,clean_no_corruption,construction_vehicle,0.5,0.0,0.0
M1,clean_no_corruption,construction_vehicle,1.0,0.0,0.0
M1,clean_no_corruption,construction_vehicle,2.0,0.0,0.0
M1,clean_no_corruption,construction_vehicle,4.0,0.0,0.0
