count,mean,metric,p01,p10,p25,p50,p75,p90,p99,phase,protocol,variant
5400,0.6332453024552928,uncertainty,0.4798263645172119,0.5558962225914001,0.605922520160675,0.6384372115135193,0.6672799587249756,0.6888380944728851,0.8957611322402954,pre_fault,crash_5f,n1_debug50
6,0.08851851851851851,write_ratio,0.036,0.04,0.05666666666666667,0.09444444444444444,0.11638888888888889,0.13111111111111112,0.13811111111111113,pre_fault,crash_5f,n1_debug50
58500,0.6851559871387405,actual_added_negative_evidence,0.14564182013273239,0.23014538884162905,0.43441133201122284,0.7542125582695007,0.8643779903650284,1.007141613960266,1.3397442042827608,recovery,crash_5f,n1_debug50
58500,0.25346080836277995,actual_added_positive_evidence,0.04717702556401491,0.07571769580245018,0.15921685472130775,0.2601095139980316,0.33609364181756973,0.4049904316663742,0.5677597367763524,recovery,crash_5f,n1_debug50
58500,1.3805739709964164,alpha,1.1599547231197358,1.2174211859703064,1.260141283273697,1.3232339024543762,1.404078483581543,1.5488616228103638,2.5036627197265644,recovery,crash_5f,n1_debug50
58500,1.9743051889248384,beta,1.5095881175994874,1.6744209289550782,1.75450798869133,1.8498547673225403,2.0121671557426453,2.3522399425506593,4.108381929397584,recovery,crash_5f,n1_debug50
65,0.8546837606837606,defer_ratio,0.7528888888888888,0.8086666666666668,0.8244444444444444,0.8577777777777778,0.8877777777777778,0.9086666666666666,0.9189777777777778,recovery,crash_5f,n1_debug50
65,248.0,effective_propagated_queries,232.68,242.0,245.0,249.0,252.0,253.6,255.0,recovery,crash_5f,n1_debug50
65,0.14524786324786323,keep_ratio,0.08102222222222222,0.09133333333333334,0.11222222222222222,0.14222222222222222,0.17555555555555555,0.19133333333333333,0.2471111111111111,recovery,crash_5f,n1_debug50
65,6.837606837606838e-05,recover_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0015111111111111104,recovery,crash_5f,n1_debug50
58500,0.3162358999830535,score_scale,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.0,1.0,recovery,crash_5f,n1_debug50
58500,0.7499801721002302,source_innovation,0.0,0.0,0.29787665605545044,1.0,1.0,1.0,1.0,recovery,crash_5f,n1_debug50
58500,1.3548791597969512,strength,0.7525413990020752,0.9360698938369751,1.0410640239715576,1.1740025281906128,1.371653139591217,1.8606217861175536,4.576001071929932,recovery,crash_5f,n1_debug50
58500,0.0002142270253254817,temporal_reacquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recovery,crash_5f,n1_debug50
58500,0.6118115192315517,uncertainty,0.3041361936926842,0.5180512428283691,0.5931808352470398,0.6301192343235016,0.6576645523309708,0.6811826646327972,0.7266012609004976,recovery,crash_5f,n1_debug50
65,0.14531623931623933,write_ratio,0.08102222222222222,0.09133333333333334,0.11222222222222222,0.14222222222222222,0.17555555555555555,0.19133333333333333,0.2471111111111111,recovery,crash_5f,n1_debug50
72900,0.6511654041718247,actual_added_negative_evidence,0.13943164944648742,0.22134662568569183,0.440932534635067,0.7104826867580414,0.8191038221120834,0.9575992524623872,1.2751431536674493,clean,clean,n1_zero_shot
72900,0.26405219467318475,actual_added_positive_evidence,0.04881904434412718,0.07921509370207787,0.16743203997612,0.2708917409181595,0.3494522422552109,0.4225989490747452,0.5918116939067836,clean,clean,n1_zero_shot
72900,1.3828343465805708,alpha,1.1609223639965058,1.2249711632728577,1.2688214480876923,1.3331308364868164,1.4157189726829529,1.548514711856842,2.4373851609229997,clean,clean,n1_zero_shot
72900,1.907939405225432,beta,1.471341757774353,1.6318389773368835,1.70847287774086,1.8026212453842163,1.956455647945404,2.255132579803467,3.8127618098258957,clean,clean,n1_zero_shot
81,0.873347050754458,defer_ratio,0.7697777777777778,0.8255555555555556,0.8411111111111111,0.8777777777777778,0.9033333333333333,0.9233333333333333,0.9673333333333334,clean,clean,n1_zero_shot
81,241.02469135802468,effective_propagated_queries,0.0,240.0,244.0,249.0,251.0,253.0,256.0,clean,clean,n1_zero_shot
81,0.1265843621399177,keep_ratio,0.03266666666666666,0.07666666666666666,0.09666666666666666,0.12222222222222222,0.15888888888888889,0.17444444444444446,0.23022222222222227,clean,clean,n1_zero_shot
81,6.858710562414266e-05,recover_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0013333333333333365,clean,clean,n1_zero_shot
72900,0.30130521522280446,score_scale,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.0,1.0,clean,clean,n1_zero_shot
